model,mean_squared_error,mean_absolute_error,r2_score
XGBoost,39.47946213691662,4.233491200577485,0.5048356225198367
Random Forest,44.686991239567526,4.632846257754698,0.4395210825855964
Gradient Boosting,39.401392265929324,4.232546916294315,0.5058148004765506
Linear Regression,43.000900577734534,4.453319758363585,0.46066858530602883
